Name,Prop,Line,Team,Opponent,Per_Min_L5,Per_Min_Avg,Variance,Confidence%,Matchup Scalar,Samples
Jaxson Hayes,u3.5 Points,,LAL,,3.00,3.10,4.20,5.0,0.99,5
Isaiah Hartenstein,u8.5 Points + Assists,,OKC,,1.80,2.00,2.00,5.0,0.97,5
Marcus Smart,u5.5 Rebounds + Assists,,LAL,,2.40,1.50,2.00,5.0,1.10,5
Rui Hachimura,u14.5 Points + Rebounds,,LAL,,3.00,2.50,2.00,5.0,1.06,5
Luke Kennard,u1.5 Q1 Points,,LAL,,1.00,1.30,2.00,5.0,0.97,5
LeBron James,u17.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
Isaiah Joe,u1.5 Three Pointers,,OKC,,3.40,3.20,2.00,5.0,1.02,5
Isaiah Hartenstein,u5.5 Points,,OKC,,1.80,2.00,4.20,5.0,1.00,5
LeBron James,u16.5 Points,,LAL,,1.60,1.50,4.20,5.0,1.00,5
Luguentz Dort,u4.5 Points,,OKC,,2.20,2.10,4.20,5.0,1.00,5
Luguentz Dort,u0.5 Three Pointers,,OKC,,2.20,2.10,2.00,5.0,1.01,5
Shai Gilgeous-Alexander,u0.5 Three Pointers,,OKC,,1.40,1.50,2.00,5.0,0.99,5
Rui Hachimura,u11.5 Points,,LAL,,3.00,2.50,4.20,5.0,1.02,5
Rui Hachimura,u13.5 Points + Rebounds,,LAL,,3.00,2.50,2.00,5.0,1.06,5
Rui Hachimura,u10.5 Points,,LAL,,3.00,2.50,4.20,5.0,1.02,5
Rui Hachimura,u9.5 Points,,LAL,,3.00,2.50,4.20,5.0,1.02,5
Rui Hachimura,u8.5 Points,,LAL,,3.00,2.50,4.20,5.0,1.02,5
Isaiah Joe,u0.5 Three Pointers,,OKC,,3.40,3.20,2.00,5.0,1.02,5
